thscode,2023-08-08,2023-08-09,2023-08-10,2023-08-11,2023-08-14,2023-08-15,2023-08-16,2023-08-17,2023-08-18,2023-08-21,2023-08-22,2023-08-23,2023-08-24,2023-08-25,2023-08-28,2023-08-29,2023-08-30,2023-08-31,2023-09-01,2023-09-04,2023-09-05,2023-09-06,2023-09-07,2023-09-08
000755.SZ,0.0,-1.1834319526627,1.5968063872256,-2.3575638506876,0.80482897384306,0.19960079840319,-0.39840637450198,0.2,-0.39920159680638,0.2004008016032,-1.4,-2.6369168356998,-1.875,-1.0615711252654,3.0042918454936,0.0,-1.6666666666667,-2.1186440677966,3.030303030303,1.2605042016807,-1.4522821576764,0.0,-1.2631578947368,-1.0660980810235
000756.SZ,2.1865889212828,7.8459343794579,-3.3509700176367,1.9616788321168,-2.0581655480984,0.63956144358155,-1.7703132092601,-1.8022181146026,-4.9411764705882,-0.39603960396039,-1.7395626242545,-3.085483055134,-0.15657620041754,-1.9341348667015,1.7057569296375,1.4150943396227,0.10335917312661,4.7496128033041,-2.8092656481025,0.35496957403651,-1.1622031328954,-0.97137014314927,-1.7552916881776,-0.1050972149238
000757.SZ,-2.2935779816514,-3.0516431924883,-1.2106537530266,-0.24509803921568,0.98280098280098,0.0,-2.1897810218978,2.9850746268657,-0.4830917874396,-0.48543689320389,-0.97560975609756,-1.2315270935961,1.496259351621,-1.4742014742015,2.2443890274314,1.4634146341464,1.6826923076923,0.0,0.23640661938534,1.4150943396226,0.0,0.46511627906978,-2.3148148148148,0.47393364928911
000758.SZ,-0.38834951456312,-1.364522417154,0.0,-2.7667984189723,0.20325203252032,-0.60851926977686,-0.81632653061225,1.0288065843621,-2.6476578411405,-1.0460251046025,1.2684989429175,-2.5052192066806,0.21413276231263,-1.0683760683761,1.7278617710583,4.8832271762208,-1.417004048583,-1.0266940451745,2.6970954356846,2.6262626262626,-0.39370078740158,0.39525691699606,-1.7716535433071,-0.40080160320642
000759.SZ,-1.9342359767892,-1.3806706114398,0.2,-1.3972055888223,1.0121457489879,0.4008016032064,-0.79840319361278,0.6036217303823,-3.4,-1.0351966873706,-0.41841004184101,-0.84033613445378,1.271186440678,-1.8828451882845,1.9189765458422,0.418410041841,-4.7916666666667,-1.3129102844639,1.9955654101996,1.5217391304348,-1.9271948608137,-0.87336244541485,-1.1013215859031,-0.22271714922049
000761.SZ,-1.6587677725118,-1.2048192771085,-0.24390243902439,-2.4449877750611,0.25062656641603,1.75,-0.98280098280098,-0.24813895781639,-0.7462686567164,-1.0025062656642,1.0126582278481,-0.25062656641605,-2.7638190954774,0.51679586563308,2.5706940874036,-2.7568922305764,-1.8041237113402,-2.6246719160105,0.26954177897575,5.3763440860215,-2.2959183673469,-2.088772845953,-1.3333333333333,-1.6216216216216
000762.SZ,-0.26238110856018,-1.4140085498191,0.83388925950634,-1.9186238835594,-0.97807757166947,-1.2261580381471,-4.4827586206897,0.32490974729242,-2.2310183519251,-1.8402649981597,-0.97487814023248,-3.1806134040136,-1.6034415330465,-2.7424483306836,1.4303228442991,1.9339242546334,-0.23715415019764,-1.4263074484945,1.1655948553055,3.3373063170441,-0.3844675124952,-0.34735623311463,-2.285050348567,-1.307966706302
000766.SZ,7.908611599297,-2.7687296416938,-0.83752093802345,-1.3513513513514,0.0,0.51369863013699,-0.85178875638841,3.7800687285223,-9.9337748344371,9.9264705882353,0.83612040133779,-1.1608623548922,1.6778523489933,0.0,3.960396039604,-2.0634920634921,10.048622366288,10.014727540501,-2.8112449799197,10.055096418733,-0.37546933667084,-1.3819095477387,-1.0191082802548,0.12870012870014
000767.SZ,-1.1940298507463,-1.2084592145015,0.0,-2.4464831804281,0.94043887147336,0.0,1.2422360248447,0.30674846625768,-1.5290519877676,-0.93167701863355,-0.6269592476489,-0.94637223974763,-1.2738853503185,0.64516129032258,1.6025641025641,0.63091482649842,-2.5078369905956,0.32154340836014,-0.64102564102564,3.5483870967742,3.7383177570093,-0.30030030030031,-5.4216867469879,9.8726114649682
000768.SZ,-0.55423594615994,0.19904458598726,-0.43702820818436,-1.6759776536313,0.68993506493506,-1.2494961708988,-0.93877551020408,4.3263288009889,-1.3428120063191,-2.2417934347478,1.2285012285012,-2.5080906148867,-0.12448132780083,-0.58163689239718,1.1282908483076,-0.99173553719008,-0.6677796327212,-1.7647058823529,0.59880239520958,0.80782312925171,-1.6870518768452,3.5178035178035,-1.9477828429341,1.9442096365173
