thscode,2023-11-15,2023-11-16,2023-11-17,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15
000403.SZ,86602295.74,399969195.0,454811866.98,487626605.91,222968441.56,108037946.67,152921865.52,216047817.26,128472402.87,236995775.57,202789815.8,526398838.94,474532728.51,314922272.25,236792818.24,177404233.54,353178309.69,282350335.18,211163710.27,532364551.5,620676558.4,361817811.03,372508929.38
000404.SZ,72287947.19,62026337.25,47397126.25,56693889.5,55705915.0,49027900.75,47683793.0,47173623.0,46888268.5,35596589.35,41137860.0,42021479.25,52772810.82,61945120.0,63607860.33,42833965.59,37654050.5,60061972.0,61941683.0,35386267.5,45188043.0,48691625.0,44443421.1
000407.SZ,22278571.0,24582856.4,21733886.69,23752195.36,24145901.35,16965256.0,22544159.36,25897605.25,27933807.2,25772538.48,23530718.0,29409989.74,24212781.0,37869707.52,34155402.8,24552635.38,24945952.26,48591265.5,45774944.2,48421844.6,47086220.0,61207584.02,61041089.12
000408.SZ,387244150.03,174359402.67,151630305.54,175829799.8,186990616.55,156548943.29,183887856.57,126430060.52,135798012.0,148157251.87,206504655.16,123979628.56,186018328.6,188710436.6,229060960.12,434284403.8,223904888.32,251892723.92,209060338.46,168030175.8,136183672.06,150912478.97,219998599.84
000409.SZ,78419035.1,45081702.45,40632059.67,54694580.02,188619467.72,120535084.5,69363014.59,53145037.84,50008727.08,38803556.51,43141728.25,39921313.74,45824735.83,44576983.54,46380400.29,30871769.65,41883993.65,126620666.21,354214435.54,334360986.59,1578207343.28,2265926317.99,1542720340.69
000410.SZ,67688203.98,54235166.0,115074741.45,78078810.51,60869185.79,43665694.0,35980246.0,46286271.17,48460478.0,60452134.17,66489403.63,80372705.8,75387537.47,55758633.0,41637954.42,53462542.4,25987634.86,34897966.0,40630425.21,32452410.0,76783067.18,53487331.0,46709934.52
000411.SZ,35665944.35,35942338.9,46798391.0,48233010.04,45636520.43,42463032.11,63223692.4,87012416.36,72896445.23,53193367.09,42792522.0,43074808.4,53330830.4,53527215.06,50530943.0,43183723.2,37793571.33,36919890.2,41552251.09,32794356.99,217305524.46,170870852.16,107154337.6
000413.SZ,559649558.15,365737915.0,289544938.76,404334081.37,500661362.22,401418259.91,319459639.65,286980664.1,201034217.0,216715030.71,163705272.7,242682180.78,163281978.0,160828624.13,197168823.0,161494958.4,127753067.0,133424943.23,133490238.08,223765544.84,123346308.68,129881181.33,113144171.65
000415.SZ,72986137.2,73086446.89,89689480.4,72584292.0,120892894.68,98955489.8,67959468.0,64981302.8,69745542.0,75255877.82,69064124.5,61289066.37,81922021.11,59168275.0,54572886.0,78888983.4,86517398.85,173559331.96,151156553.39,129820796.25,110096725.69,75054372.56,70695126.12
000416.SZ,12178747.0,21725020.0,13150539.0,12072323.0,14053377.0,21512460.0,17575094.0,22910762.0,41604590.0,14007010.44,12224452.72,14988402.0,7959323.0,12549320.1,17464240.0,18738789.03,11254487.0,11571163.0,9818315.0,10854298.0,11961982.0,8053210.0,10894389.0
